"year","degree","wages","adj_salary"
1973,"advanced_degree",38.16,701145.483786
1974,"advanced_degree",38.37,697832.815679
1975,"advanced_degree",38.41,695906.312545
1976,"advanced_degree",37.5,695651.886477
1977,"advanced_degree",37.36,700194.081238
1978,"advanced_degree",37.56,706536.243499
1979,"advanced_degree",36.19,713836.310145
1980,"advanced_degree",35.53,721821.049332
1981,"advanced_degree",35.32,731151.394629
1982,"advanced_degree",36.08,741705.136799
1983,"advanced_degree",36.78,750735.153174
1984,"advanced_degree",37.45,759436.136815
1985,"advanced_degree",38.31,770425.35676
1986,"advanced_degree",39.88,778879.613995
1987,"advanced_degree",40.55,783602.653757
1988,"advanced_degree",41.12,787535.196521
1989,"advanced_degree",39.8,791910.698589
1990,"advanced_degree",39.95,802057.368378
1991,"advanced_degree",40.71,812188.340117
1992,"advanced_degree",40.94,821125.751497
1993,"advanced_degree",41.45,831779.04768
1994,"advanced_degree",43.46,840298.509745
1995,"advanced_degree",43.27,846022.927489
1996,"advanced_degree",43.35,851181.430173
1997,"advanced_degree",43.68,856523.201985
1998,"advanced_degree",44.49,861152.680357
1999,"advanced_degree",46.02,864698.525435
2000,"advanced_degree",45.99,868572.90946
2001,"advanced_degree",46.23,872193.07975
2002,"advanced_degree",47.36,872638.32276
2003,"advanced_degree",46.79,872552.78944
2004,"advanced_degree",47.48,873228.33379
2005,"advanced_degree",47.09,869601.88221
2006,"advanced_degree",47.23,869216.76817
2007,"advanced_degree",47.31,870664.1942
2008,"advanced_degree",47.55,871457.64968
2009,"advanced_degree",49.12,874914.61572
2010,"advanced_degree",48.8,876540.97602
2011,"advanced_degree",47.56,883590.72508
2012,"advanced_degree",48.47,892830.36017
2013,"advanced_degree",48.54,899710.65386
2014,"advanced_degree",47.27,905990.32649347
2015,"advanced_degree",48.42,915328.933542173
2016,"advanced_degree",49.64,923299.322096111
2017,"advanced_degree",49.4,929979.806355283
2018,"advanced_degree",51.03,938146.367669689
2019,"advanced_degree",51.57,943993.015729329
2020,"advanced_degree",53.74,949748.229904204
2021,"advanced_degree",53.45,952603.479924312
2022,"advanced_degree",53.22,957640.375659654
1973,"bachelors_degree",32.8,784394.13887
1974,"bachelors_degree",31.69,783815.417788
1975,"bachelors_degree",31.45,787103.46589
1976,"bachelors_degree",31.46,791496.813103
1977,"bachelors_degree",31.07,792763.110315
1978,"bachelors_degree",30.9,795183.389447
1979,"bachelors_degree",30.57,796862.185946
1980,"bachelors_degree",30.04,800003.301725
1981,"bachelors_degree",30.17,804632.731179
1982,"bachelors_degree",30.55,809832.35919
1983,"bachelors_degree",30.73,814055.656132
1984,"bachelors_degree",31.07,816598.197798
1985,"bachelors_degree",31.5,819957.351578
1986,"bachelors_degree",32.67,825396.663142
1987,"bachelors_degree",33.19,830010.802308
1988,"bachelors_degree",33.41,835211.790885
1989,"bachelors_degree",31.89,841297.701019
1990,"bachelors_degree",32.21,850813.410515
1991,"bachelors_degree",31.87,859943.884158
1992,"bachelors_degree",32.16,868607.906554
1993,"bachelors_degree",32.16,876745.012233
1994,"bachelors_degree",32.72,884971.943675
1995,"bachelors_degree",32.86,892326.378257
1996,"bachelors_degree",32.5,899073.379695
1997,"bachelors_degree",33.44,907217.56482
1998,"bachelors_degree",34.97,913978.05477
1999,"bachelors_degree",35.76,915503.5045
2000,"bachelors_degree",36.44,916336.49152
2001,"bachelors_degree",37.07,916441.82144
2002,"bachelors_degree",37.26,913992.02066
2003,"bachelors_degree",37.14,914047.6437
2004,"bachelors_degree",36.78,915272.98915
2005,"bachelors_degree",36.89,916606.85723
2006,"bachelors_degree",36.99,918321.94991
2007,"bachelors_degree",37.23,921327.89628
2008,"bachelors_degree",37.04,928591.13733
2009,"bachelors_degree",37.3,935604.75417
2010,"bachelors_degree",37.42,942631.85155
2011,"bachelors_degree",36.44,946719.487376939
2012,"bachelors_degree",36.76,953043.140349051
2013,"bachelors_degree",37,959348.803896338
2014,"bachelors_degree",36.47,965621.360078799
2015,"bachelors_degree",37.96,973406.881446434
2016,"bachelors_degree",38.73,978604.798929243
2017,"bachelors_degree",38.65,983185.758907226
2018,"bachelors_degree",38.87,988571.696620383
2019,"bachelors_degree",39.61,994214.803808715
2020,"bachelors_degree",41.65,999056.70618222
2021,"bachelors_degree",41.32,1000555.4413309
2022,"bachelors_degree",41.6,1003762.71032475
1973,"some_college",24.08,685951.195824
1974,"some_college",23.32,683583.382748
1975,"some_college",23.3,682269.193761
1976,"some_college",23.49,681304.612
1977,"some_college",22.97,679428.110302
1978,"some_college",23.25,677816.634807
1979,"some_college",23.2,675825.413581
1980,"some_college",22.73,674010.020492
1981,"some_college",22.47,672609.557334
1982,"some_college",22.43,671760.960844
1983,"some_college",22.28,671754.619814
1984,"some_college",22.37,672977.978745
1985,"some_college",22.6,674706.890077
1986,"some_college",23.12,676587.765274
1987,"some_college",23.17,678362.507202
1988,"some_college",23.03,680855.076331
1989,"some_college",22.61,683170.666854
1990,"some_college",22.58,685968.943145
1991,"some_college",22.49,688318.01212
1992,"some_college",22.26,690463.156807
1993,"some_college",22.27,693389.10429
1994,"some_college",22.26,695617.918827
1995,"some_college",22.04,698472.781147
1996,"some_college",22.11,701431.91482
1997,"some_college",22.54,703062.813701
1998,"some_college",23.02,702926.822055
1999,"some_college",23.36,701668.146612
2000,"some_college",23.68,699984.432999
2001,"some_college",24.05,699186.350975
2002,"some_college",24.25,697816.307245
2003,"some_college",24.19,695724.025636
2004,"some_college",24.11,694297.016231
2005,"some_college",23.76,693584.990585
2006,"some_college",23.69,696815.067433
2007,"some_college",23.84,699266.342685
2008,"some_college",23.52,701279.958339
2009,"some_college",23.82,701891.577466061
2010,"some_college",23.56,701488.36963236
2011,"some_college",22.9,701639.680253897
2012,"some_college",22.56,703406.107135671
2013,"some_college",22.5,705970.436066683
2014,"some_college",22.48,708824.714115933
2015,"some_college",23.17,711799.85108042
2016,"some_college",23.35,713437.472152145
2017,"some_college",23.31,714705.455176108
2018,"some_college",23.7,716169.198665308
2019,"some_college",24,717005.006067747
2020,"some_college",25.44,717215.612243422
2021,"some_college",24.92,714457.634795336
2022,"some_college",24.81,712984.170858487
1973,"high_school",22.22,714140
1974,"high_school",21.6,709180
1975,"high_school",21.55,705520
1976,"high_school",21.76,701720
1977,"high_school",21.5,697500
1978,"high_school",21.52,694260
1979,"high_school",21.62,690580
1980,"high_school",20.9,686580
1981,"high_school",20.68,684680
1982,"high_school",20.65,684100
1983,"high_school",20.43,684140
1984,"high_school",20.3,684880
1985,"high_school",20.4,686480
1986,"high_school",20.61,688460
1987,"high_school",20.6,690240
1988,"high_school",20.66,691700
1989,"high_school",20.07,692520
1990,"high_school",19.74,694720
1991,"high_school",19.77,697320
1992,"high_school",19.65,699640
1993,"high_school",19.65,703180
1994,"high_school",19.88,706000
1995,"high_school",19.68,707580
1996,"high_school",19.62,709220
1997,"high_school",19.95,710600
1998,"high_school",20.39,711380
1999,"high_school",20.67,712220
2000,"high_school",20.8,712880
2001,"high_school",21.1,713800
2002,"high_school",21.39,714600
2003,"high_school",21.5,715100
2004,"high_school",21.33,717500
2005,"high_school",21.07,719400
2006,"high_school",21.17,721140
2007,"high_school",21.04,720996
2008,"high_school",20.93,721129.364705882
2009,"high_school",21.42,721500.094117647
2010,"high_school",21.06,720908.188235294
2011,"high_school",20.67,721053.647058824
2012,"high_school",20.5,721996.470588235
2013,"high_school",20.31,723296.65882353
2014,"high_school",20.34,724994.211764706
2015,"high_school",20.81,726649.129411765
2016,"high_school",21,727381.411764706
2017,"high_school",21.26,727751.05882353
2018,"high_school",21.5,727618.070588235
2019,"high_school",21.64,727022.447058824
2020,"high_school",22.7,726164.188235294
2021,"high_school",22.28,723203.294117647
2022,"high_school",21.94,721099.764705883
1973,"less_than_hs",18.06,572880
1974,"less_than_hs",17.68,566860
1975,"less_than_hs",17.3,561480
1976,"less_than_hs",17.52,556620
1977,"less_than_hs",17.59,550780
1978,"less_than_hs",17.29,544260
1979,"less_than_hs",17.95,537580
1980,"less_than_hs",17.42,529580
1981,"less_than_hs",17.07,522880
1982,"less_than_hs",16.73,517880
1983,"less_than_hs",16.43,513640
1984,"less_than_hs",16.21,510120
1985,"less_than_hs",16.08,507460
1986,"less_than_hs",16.1,505660
1987,"less_than_hs",15.76,504000
1988,"less_than_hs",15.79,502740
1989,"less_than_hs",15.46,501080
1990,"less_than_hs",15.05,499960
1991,"less_than_hs",14.99,500240
1992,"less_than_hs",14.87,500420
1993,"less_than_hs",14.6,501500
1994,"less_than_hs",14.33,502380
1995,"less_than_hs",13.95,503640
1996,"less_than_hs",13.95,505340
1997,"less_than_hs",14.07,506680
1998,"less_than_hs",14.57,507860
1999,"less_than_hs",14.61,509220
2000,"less_than_hs",14.67,510900
2001,"less_than_hs",14.88,513400
2002,"less_than_hs",15.18,515520
2003,"less_than_hs",15.27,517380
2004,"less_than_hs",15.13,520880
2005,"less_than_hs",14.96,524100
2006,"less_than_hs",14.9,527220
2007,"less_than_hs",15.19,526950.726530612
2008,"less_than_hs",15.08,526027.944297719
2009,"less_than_hs",15.41,525251.65330132
2010,"less_than_hs",15.04,523741.853541416
2011,"less_than_hs",14.96,522898.545018007
2012,"less_than_hs",14.8,522141.727731092
2013,"less_than_hs",14.62,521631.401680672
2014,"less_than_hs",14.66,521407.566866746
2015,"less_than_hs",15.25,521030.223289315
2016,"less_than_hs",15.45,519399.370948379
2017,"less_than_hs",15.92,517295.009843937
2018,"less_than_hs",15.94,514177.13997599
2019,"less_than_hs",16.11,510945.761344537
2020,"less_than_hs",17.02,507300.873949579
2021,"less_than_hs",16.74,501762.477791116
2022,"less_than_hs",16.52,496710.572869147
