"year","advanced_degree","bachelors_degree","some_college","high_school","less_than_hs"
2023,52.8687918367349,40.1699836734693,23.8208163265306,21.098,14.7653632653061
2024,53.2205483793518,40.3818026410564,23.8444091236495,21.1066823529412,14.7286088835534
2025,53.5723049219689,40.5936216086434,23.8680019207683,21.1153647058824,14.6918545018007
2026,53.924061464586,40.8054405762305,23.8915947178872,21.1240470588235,14.655100120048
2027,54.275818007203,41.0172595438175,23.915187515006,21.1327294117647,14.6183457382953
2028,54.6275745498201,41.2290785114045,23.9387803121248,21.1414117647059,14.5815913565426
2029,54.9793310924371,41.4408974789915,23.9623731092437,21.1500941176471,14.5448369747899
2030,55.3310876350541,41.6527164465786,23.9859659063625,21.1587764705882,14.5080825930372
2031,55.6828441776712,41.8645354141656,24.0095587034814,21.1674588235294,14.4713282112845
2032,56.0346007202883,42.0763543817527,24.0331515006002,21.1761411764706,14.4345738295318
2033,56.3863572629053,42.2881733493397,24.0567442977191,21.1848235294118,14.3978194477791
2034,56.7381138055224,42.4999923169268,24.0803370948379,21.1935058823529,14.3610650660264
2035,57.0898703481394,42.7118112845138,24.1039298919568,21.2021882352941,14.3243106842737
2036,57.4416268907564,42.9236302521008,24.1275226890756,21.2108705882353,14.287556302521
2037,57.7933834333735,43.1354492196878,24.1511154861945,21.2195529411765,14.2508019207683
2038,58.1451399759906,43.3472681872749,24.1747082833133,21.2282352941177,14.2140475390156
2039,58.4968965186076,43.5590871548619,24.1983010804322,21.2369176470588,14.1772931572629
2040,58.8486530612246,43.7709061224489,24.221893877551,21.2456,14.1405387755102
