"year","ethnicity","gender","demographic","wages"
1973,"black","men","advanced_degree",42.15
1974,"black","men","advanced_degree",38.52
1975,"black","men","advanced_degree",39.16
1976,"black","men","advanced_degree",39.63
1977,"black","men","advanced_degree",34.53
1978,"black","men","advanced_degree",39.69
1979,"black","men","advanced_degree",36.4
1980,"black","men","advanced_degree",38.95
1981,"black","men","advanced_degree",34.94
1982,"black","men","advanced_degree",34.32
1983,"black","men","advanced_degree",36.96
1984,"black","men","advanced_degree",35.77
1985,"black","men","advanced_degree",37.43
1986,"black","men","advanced_degree",38.37
1987,"black","men","advanced_degree",38.99
1988,"black","men","advanced_degree",40.13
1989,"black","men","advanced_degree",34.97
1990,"black","men","advanced_degree",36.07
1991,"black","men","advanced_degree",35.93
1992,"black","men","advanced_degree",36.17
1993,"black","men","advanced_degree",36.17
1994,"black","men","advanced_degree",38.49
1995,"black","men","advanced_degree",39.26
1996,"black","men","advanced_degree",36.79
1997,"black","men","advanced_degree",39.08
1998,"black","men","advanced_degree",41.17
1999,"black","men","advanced_degree",42.9
2000,"black","men","advanced_degree",45.84
2001,"black","men","advanced_degree",43.21
2002,"black","men","advanced_degree",43.28
2003,"black","men","advanced_degree",39.33
2004,"black","men","advanced_degree",42.35
2005,"black","men","advanced_degree",43.3
2006,"black","men","advanced_degree",44.14
2007,"black","men","advanced_degree",41.87
2008,"black","men","advanced_degree",42.87
2009,"black","men","advanced_degree",44.31
2010,"black","men","advanced_degree",41.67
2011,"black","men","advanced_degree",43.52
2012,"black","men","advanced_degree",46.59
2013,"black","men","advanced_degree",46.74
2014,"black","men","advanced_degree",43.76
2015,"black","men","advanced_degree",47.54
2016,"black","men","advanced_degree",45.54
2017,"black","men","advanced_degree",44.62
2018,"black","men","advanced_degree",46.42
2019,"black","men","advanced_degree",46.87
2020,"black","men","advanced_degree",51.67
2021,"black","men","advanced_degree",49.01
2022,"black","men","advanced_degree",52.91
1973,"black","men","bachelors_degree",30.16
1974,"black","men","bachelors_degree",29.45
1975,"black","men","bachelors_degree",28.22
1976,"black","men","bachelors_degree",29.06
1977,"black","men","bachelors_degree",29.19
1978,"black","men","bachelors_degree",30.44
1979,"black","men","bachelors_degree",30.51
1980,"black","men","bachelors_degree",29.29
1981,"black","men","bachelors_degree",27.93
1982,"black","men","bachelors_degree",28.87
1983,"black","men","bachelors_degree",29.41
1984,"black","men","bachelors_degree",30.37
1985,"black","men","bachelors_degree",30.73
1986,"black","men","bachelors_degree",29.8
1987,"black","men","bachelors_degree",30.71
1988,"black","men","bachelors_degree",32.08
1989,"black","men","bachelors_degree",28.58
1990,"black","men","bachelors_degree",28.54
1991,"black","men","bachelors_degree",29.17
1992,"black","men","bachelors_degree",29.6
1993,"black","men","bachelors_degree",30.27
1994,"black","men","bachelors_degree",30.09
1995,"black","men","bachelors_degree",29.82
1996,"black","men","bachelors_degree",29.62
1997,"black","men","bachelors_degree",30.09
1998,"black","men","bachelors_degree",32.05
1999,"black","men","bachelors_degree",32.82
2000,"black","men","bachelors_degree",32.07
2001,"black","men","bachelors_degree",33.27
2002,"black","men","bachelors_degree",33.88
2003,"black","men","bachelors_degree",32.26
2004,"black","men","bachelors_degree",34.66
2005,"black","men","bachelors_degree",33.6
2006,"black","men","bachelors_degree",33.84
2007,"black","men","bachelors_degree",32.47
2008,"black","men","bachelors_degree",32.45
2009,"black","men","bachelors_degree",33.98
2010,"black","men","bachelors_degree",33.28
2011,"black","men","bachelors_degree",33.82
2012,"black","men","bachelors_degree",33.5
2013,"black","men","bachelors_degree",33.18
2014,"black","men","bachelors_degree",31.67
2015,"black","men","bachelors_degree",34.19
2016,"black","men","bachelors_degree",35.36
2017,"black","men","bachelors_degree",34.41
2018,"black","men","bachelors_degree",33.42
2019,"black","men","bachelors_degree",33.73
2020,"black","men","bachelors_degree",36.7
2021,"black","men","bachelors_degree",36.95
2022,"black","men","bachelors_degree",37.63
1973,"black","men","high_school",21.51
1974,"black","men","high_school",22.07
1975,"black","men","high_school",21.37
1976,"black","men","high_school",22.8
1977,"black","men","high_school",21.56
1978,"black","men","high_school",22.73
1979,"black","men","high_school",22.04
1980,"black","men","high_school",21.21
1981,"black","men","high_school",21.02
1982,"black","men","high_school",20.56
1983,"black","men","high_school",20.55
1984,"black","men","high_school",19.87
1985,"black","men","high_school",19.66
1986,"black","men","high_school",20.07
1987,"black","men","high_school",20.18
1988,"black","men","high_school",20.23
1989,"black","men","high_school",19.44
1990,"black","men","high_school",18.91
1991,"black","men","high_school",18.64
1992,"black","men","high_school",18.55
1993,"black","men","high_school",18.49
1994,"black","men","high_school",19.12
1995,"black","men","high_school",18.59
1996,"black","men","high_school",18.12
1997,"black","men","high_school",19.11
1998,"black","men","high_school",19.6
1999,"black","men","high_school",20.01
2000,"black","men","high_school",19.98
2001,"black","men","high_school",20.12
2002,"black","men","high_school",20.12
2003,"black","men","high_school",20.87
2004,"black","men","high_school",20.4
2005,"black","men","high_school",19.88
2006,"black","men","high_school",20.08
2007,"black","men","high_school",19.36
2008,"black","men","high_school",19.42
2009,"black","men","high_school",20.15
2010,"black","men","high_school",19.61
2011,"black","men","high_school",19.07
2012,"black","men","high_school",19.28
2013,"black","men","high_school",18.7
2014,"black","men","high_school",19.08
2015,"black","men","high_school",18.93
2016,"black","men","high_school",19.07
2017,"black","men","high_school",19.46
2018,"black","men","high_school",19.36
2019,"black","men","high_school",20.22
2020,"black","men","high_school",21.22
2021,"black","men","high_school",20.86
2022,"black","men","high_school",20.73
1973,"black","men","less_than_hs",18.63
1974,"black","men","less_than_hs",18.17
1975,"black","men","less_than_hs",17.51
1976,"black","men","less_than_hs",18.26
1977,"black","men","less_than_hs",17.94
1978,"black","men","less_than_hs",17.35
1979,"black","men","less_than_hs",18.6
1980,"black","men","less_than_hs",17.86
1981,"black","men","less_than_hs",18.08
1982,"black","men","less_than_hs",17.57
1983,"black","men","less_than_hs",17.29
1984,"black","men","less_than_hs",17.04
1985,"black","men","less_than_hs",16.69
1986,"black","men","less_than_hs",17.15
1987,"black","men","less_than_hs",16.77
1988,"black","men","less_than_hs",16.63
1989,"black","men","less_than_hs",16.17
1990,"black","men","less_than_hs",15.8
