"year","demographic","wages"
2022,"less_than_hs",16.52
2022,"high_school",21.94
2022,"some_college",24.81
2022,"bachelors_degree",41.6
2022,"advanced_degree",53.22
2022,"men_less_than_hs",17.99
2022,"men_high_school",24.08
2022,"men_some_college",27.96
2022,"men_bachelors_degree",49.01
2022,"men_advanced_degree",63.51
2022,"women_less_than_hs",14.33
2022,"women_high_school",18.93
2022,"women_some_college",21.76
2022,"women_bachelors_degree",34.39
2022,"women_advanced_degree",44.34
2022,"white_less_than_hs",15.7
2022,"white_high_school",23.31
2022,"white_some_college",26.28
2022,"white_bachelors_degree",43.3
2022,"white_advanced_degree",53.3
2022,"black_less_than_hs",15.19
2022,"black_high_school",19.39
2022,"black_some_college",21.34
2022,"black_bachelors_degree",33.39
2022,"black_advanced_degree",44.67
2022,"hispanic_less_than_hs",17.32
2022,"hispanic_high_school",20.72
2022,"hispanic_some_college",22.96
2022,"hispanic_bachelors_degree",36
2022,"hispanic_advanced_degree",48.3
2022,"white_men_less_than_hs",17.14
2022,"white_men_high_school",25.92
2022,"white_men_some_college",29.93
2022,"white_men_bachelors_degree",51.23
2022,"white_men_advanced_degree",63.86
2022,"black_men_less_than_hs",16.38
2022,"black_men_high_school",20.73
2022,"black_men_some_college",22.58
2022,"black_men_bachelors_degree",37.63
2022,"black_men_advanced_degree",52.91
2022,"hispanic_men_less_than_hs",18.67
2022,"hispanic_men_high_school",22.32
2022,"hispanic_men_some_college",25.49
2022,"hispanic_men_bachelors_degree",41.48
2022,"hispanic_men_advanced_degree",57.08
2022,"white_women_less_than_hs",13.84
2022,"white_women_high_school",19.56
2022,"white_women_some_college",22.52
2022,"white_women_bachelors_degree",35.31
2022,"white_women_advanced_degree",44.45
2022,"black_women_less_than_hs",13.89
2022,"black_women_high_school",17.83
2022,"black_women_some_college",20.36
2022,"black_women_bachelors_degree",29.94
2022,"black_women_advanced_degree",39.41
2022,"hispanic_women_less_than_hs",14.74
2022,"hispanic_women_high_school",18.18
2022,"hispanic_women_some_college",20.64
2022,"hispanic_women_bachelors_degree",31.13
2022,"hispanic_women_advanced_degree",40.64
2021,"less_than_hs",16.74
2021,"high_school",22.28
2021,"some_college",24.92
2021,"bachelors_degree",41.32
2021,"advanced_degree",53.45
2021,"men_less_than_hs",18.34
2021,"men_high_school",24.36
2021,"men_some_college",27.96
2021,"men_bachelors_degree",47.83
2021,"men_advanced_degree",63.52
2021,"women_less_than_hs",14.36
2021,"women_high_school",19.36
2021,"women_some_college",21.97
2021,"women_bachelors_degree",35.08
2021,"women_advanced_degree",44.8
2021,"white_less_than_hs",16.2
2021,"white_high_school",23.6
2021,"white_some_college",26.29
2021,"white_bachelors_degree",43.06
2021,"white_advanced_degree",53.62
2021,"black_less_than_hs",14.55
2021,"black_high_school",19.66
2021,"black_some_college",21.26
2021,"black_bachelors_degree",32.62
2021,"black_advanced_degree",43.37
2021,"hispanic_less_than_hs",17.6
2021,"hispanic_high_school",21.03
2021,"hispanic_some_college",23.34
2021,"hispanic_bachelors_degree",35.26
2021,"hispanic_advanced_degree",48.6
2021,"white_men_less_than_hs",18.13
2021,"white_men_high_school",26.03
2021,"white_men_some_college",29.79
2021,"white_men_bachelors_degree",50.06
2021,"white_men_advanced_degree",64.04
2021,"black_men_less_than_hs",15.38
2021,"black_men_high_school",20.86
2021,"black_men_some_college",22.63
2021,"black_men_bachelors_degree",36.95
2021,"black_men_advanced_degree",49.01
2021,"hispanic_men_less_than_hs",18.98
2021,"hispanic_men_high_school",22.7
2021,"hispanic_men_some_college",25.58
2021,"hispanic_men_bachelors_degree",39.61
2021,"hispanic_men_advanced_degree",55.6
2021,"white_women_less_than_hs",13.77
2021,"white_women_high_school",20.08
2021,"white_women_some_college",22.73
2021,"white_women_bachelors_degree",36.11
2021,"white_women_advanced_degree",44.82
2021,"black_women_less_than_hs",13.73
2021,"black_women_high_school",18.3
2021,"black_women_some_college",20.18
2021,"black_women_bachelors_degree",29.35
2021,"black_women_advanced_degree",40.07
2021,"hispanic_women_less_than_hs",14.97
2021,"hispanic_women_high_school",18.34
2021,"hispanic_women_some_college",21.14
2021,"hispanic_women_bachelors_degree",31.25
2021,"hispanic_women_advanced_degree",42.47
2020,"less_than_hs",17.02
2020,"high_school",22.7
2020,"some_college",25.44
2020,"bachelors_degree",41.65
2020,"advanced_degree",53.74
2020,"men_less_than_hs",18.76
2020,"men_high_school",25.09
2020,"men_some_college",28.55
2020,"men_bachelors_degree",48.15
2020,"men_advanced_degree",62.7
2020,"women_less_than_hs",14.4
2020,"women_high_school",19.35
2020,"women_some_college",22.35
2020,"women_bachelors_degree",35.41
2020,"women_advanced_degree",46.04
2020,"white_less_than_hs",17.01
2020,"white_high_school",24
2020,"white_some_college",26.9
2020,"white_bachelors_degree",43.16
2020,"white_advanced_degree",53.8
2020,"black_less_than_hs",14.55
2020,"black_high_school",19.66
2020,"black_some_college",21.79
2020,"black_bachelors_degree",33.64
2020,"black_advanced_degree",45.76
2020,"hispanic_less_than_hs",17.61
2020,"hispanic_high_school",21.46
2020,"hispanic_some_college",23.24
2020,"hispanic_bachelors_degree",36.13
2020,"hispanic_advanced_degree",48.58
2020,"white_men_less_than_hs",18.97
2020,"white_men_high_school",26.73
2020,"white_men_some_college",30.4
2020,"white_men_bachelors_degree",50.15
2020,"white_men_advanced_degree",63.5
2020,"black_men_less_than_hs",15.52
2020,"black_men_high_school",21.22
2020,"black_men_some_college",23.57
2020,"black_men_bachelors_degree",36.7
2020,"black_men_advanced_degree",51.67
2020,"hispanic_men_less_than_hs",19.26
2020,"hispanic_men_high_school",23.33
2020,"hispanic_men_some_college",25.69
2020,"hispanic_men_bachelors_degree",41
2020,"hispanic_men_advanced_degree",53.58
2020,"white_women_less_than_hs",14.2
2020,"white_women_high_school",20.06
2020,"white_women_some_college",23.31
2020,"white_women_bachelors_degree",36.2
2020,"white_women_advanced_degree",45.58
2020,"black_women_less_than_hs",13.66
2020,"black_women_high_school",17.93
2020,"black_women_some_college",20.31
2020,"black_women_bachelors_degree",31.38
2020,"black_women_advanced_degree",42.44
2020,"hispanic_women_less_than_hs",14.58
2020,"hispanic_women_high_school",18.5
2020,"hispanic_women_some_college",20.69
2020,"hispanic_women_bachelors_degree",31.55
2020,"hispanic_women_advanced_degree",44.15
2019,"less_than_hs",16.11
2019,"high_school",21.64
2019,"some_college",24
2019,"bachelors_degree",39.61
2019,"advanced_degree",51.57
2019,"men_less_than_hs",17.55
2019,"men_high_school",23.99
2019,"men_some_college",26.99
2019,"men_bachelors_degree",45.74
2019,"men_advanced_degree",59.93
2019,"women_less_than_hs",13.96
2019,"women_high_school",18.48
2019,"women_some_college",21.09
2019,"women_bachelors_degree",33.8
2019,"women_advanced_degree",44.22
2019,"white_less_than_hs",15.89
